Fly	Cross	eye	Cop_start	Cop_end	Duration	Mate	Freeze	Freeze_Day	Freeze_Time	1Egg	1Hatch	2Egg	2Hatch	3Egg	3Hatch	4Egg	4Hatch	DiedEarly	NoYeastFirst	MaybeMixUp	ReasonExclude	eye2	ST	PO	Plug	Egg	SRsperm	STsperm1	STsperm2	FRTabnormal	EyeMismatch	AnnotationMixup	EggOviduct	EggDegen	NoSpermXfer	ExcludeMismatch
163	63x4040	dent	10:55	11:21	0:26	Y	6	15	12:35	53								N	N	N	N	dent	2	2	N	N	411	114	159	N	N	N	N	N	N	N
164	63x4040	dent	11:00	11:34	0:34	Y	72	18		32	9	0	0	63		17		N	N	N	N	dent	2	2	N	N	128	61	89	N	N	N	N	N	N	N
165	63x4040	dent	11:31	11:59	0:28	Y				54	32							N	N	N	N															N
166	63x4040	dent	11:00	11:31	0:31	Y	96	19		48	18	0	0	74	40	32	13	N	N	N	N	dent	2	2	N	N	101	93	90	N	N	N	N	N	N	N
167	63x4040	dent	10:50	11:18	0:28	Y	24	16	11:40	0	0							N	N	N	N	dent	2	2	N	N	478	63	14	N	N	N	N	N	N	N
168	63x4040	dent	13:12	13:39	0:27	Y	48	17	15:20	39	24	0	0					N	N	N	N	dent	2	2	N	Y	352	67	49	N	N	N	N	N	N	N
169	63x4040	dent				N												N	N	N	N															N
170	63x4040	dent	11:07	11:37	0:30	Y	96	19		27	12	38	12	0	0	51	19	N	N	N	N	dent	2	2	N	Y	90	72	101	N	N	N	N	N	N	N
171	63x4040	dent	10:55	11:26	0:31	Y	24	16	11:40	37	29							N	N	N	N	dent	2	2	N	Y	17	2	2	N	N	N	N	N	N	N
172	63x4040	dent	10:55	11:22	0:27	Y	6	15	17:30	2	1							N	N	N	N															N
173	63x4040	dent	11:07	11:31	0:24	Y	96	19		33	12	0	0	53	17	42	23	N	N	N	N	dent	2	2	N	N	272	47	109	N	N	N	N	N	N	N
174	63x4040	dent	10:47			Y	72	18	15:20	53	19	0	0	38	14			N	N	N	N	dent	2	2	N	Y	210	38	45	N	N	N	N	N	N	N
175	63x4040	dent	11:01	11:27	0:26	Y	24	16	11:40	48	13							N	N	N	N	dent	2	2	N	Y	344	59	38	N	N	N	N	N	N	N
176	63x4040	dent	14:14	14:50	0:36	Y	48	17	15:20	48	17	0	0					N	N	N	N	dent	2	2	N	Y	282	67	96	N	N	N	N	N	N	N
177	63x4040	dent	11:22	11:51	0:29	Y	96	19		46	25	0	0	1	0	69	19	N	N	N	N	dent	2	2	N	Y	289	49	99	N	N	N	N	N	N	N
178	63x4040	dent	13:03	13:03		Y	2	15	15:00	0	0							N	Y	N	Y															N
179	63x4040	dent	11:01	11:28	0:27	Y	72	18	12:35	31	8	0	0	48	12			N	N	N	N	dent	2	2	N	N	319	45	34	N	N	N	N	N	N	N
180	63x4040	dent	11:18	11:42	0:24	Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N	dent	2	2	N	N	0	0	0	N	N	N	N	N	Y	N
181	63x4040	dent				N												N	N	N	N															N
182	63x4040	dent	9:58	10:31	0:33	Y	72	18	12:35	33	22	0	0	47	32			N	N	N	N	dent	2	2	N	N	20	79	69	N	N	N	N	N	N	N
183	63x4040	dent	13:48	14:29	0:41	Y	48	17	15:20	42	31	0	0					N	N	N	N															N
